,Title,Author,Rating,Price
0,The Psychology of Money,Morgan Housel,4.6,₹300.00
1,Mohammad Shakeel,N/A,0,₹284.00
2,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5,₹349.00
3,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6,₹299.00
4,Atomic Habits: The life-changing million copy bestseller,James Clear,4.6,₹639.00
5,It Ends With Us: A Novel: Volume 1,Colleen Hoover,4.5,₹399.00
6,The Power of Your Subconscious Mind,Joseph Murphy,4.5,₹119.00
7,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",N/A,4.6,₹155.00
8,27 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2021) 12th Edition,N/A,4.5,₹343.00
9,Mathematics for Class 10 - CBSE - by R.D. Sharma Examination 2022-23,R.D. Sharma,4.4,₹439.00
10,Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6,₹429.00
11,Word Power Made Easy,Norman Lewis,4.4,₹145.00
12,Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,N/A,4.3,₹249.00
13,Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4,₹449.00
14,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",Maple Press,4.4,₹174.00
15,CBSE All In One Social Science Class 10 2022-23 Edition,N/A,4.4,₹494.00
16,How to Win Friends and Influence People,Dale Carnegie,4.5,₹96.00
17,Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,N/A,4.4,₹474.00
18,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5,₹129.00
19,"MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",N/A,4.6,₹573.00
20,The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,4.7,₹195.00
21,CBSE All In One Science Class 10 for 2022-23 Edition,N/A,4.9,₹575.00
22,Brain Activity Book for Kids - 200+ Activities for Age 3+,N/A,4.5,₹79.00
23,My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),N/A,4.4,₹140.00
24,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.5,₹279.00
25,DO EPIC SHIT,Ankur Warikoo,4.5,₹292.00
26,Mathematics for Class 9 - CBSE - by R.D. Sharma Examination 2022-23,R.D. Sharma,4.6,₹499.00
27,The Alchemist,Paulo Coelho,4.6,₹196.00
28,Great Stories for Children,Ruskin Bond,4.5,₹119.00
29,"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",N/A,4.3,₹189.00
30,Arihant CBSE English Core Term 2 Class 12 for 2022 Exam (Cover Theory and MCQs),N/A,4.3,₹133.00
31,101 Panchatantra Stories for Children: Colourful Illustrated Stories,N/A,4.5,₹129.00
32,General Knowledge,N/A,4.4,₹168.00
33,The Power of A Positive Attitude: Your Road To Success,Roger Fritz,4.4,₹94.00
34,The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5,₹448.00
35,The Diary of a Young Girl,Anne Frank,4.6,₹96.00
36,Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop,N/A,4.8,₹188.00
37,Colour With Crayons Book 1 for Kids Age 1 -6 Years - Drawing and Colouring Book for Early Learners,N/A,4.2,₹70.00
38,400 Days,Chetan Bhagat,4.4,₹150.00
39,My First ABC Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,4.4,₹132.00
40,GIKSO 100 Maths Puzzles Book - Brain Boosting Mathematical Activities for Age 7+ Years Old Kids | Game Book (English) - Reprinted 2021,N/A,4.3,₹188.00
41,NTA CUET UG General Test Book (Common University Entrance Test 2022),N/A,5.0,₹246.00
42,"MTG 34 Years NEET Previous Year Solved Question Papers with NEET Chapterwise Topicwise Solutions - NEET 2022 Preparation Books, Set of 3 Books NTA Neet 34 Years Questions, Physics Chemistry Biology",N/A,4.4,₹670.00
43,"SHNMN Sank Magic Practice Copybook, (4 BOOK + 2 pen + 2 GRIP + 10 REFILL) Number Tracing Book for Preschoolers with Pen, Magic calligraphy books for kids Reusable Writing Tool (4 BOOK +10 REFILL+ 2 PEN)",N/A,4.7,₹378.00
44,Concept of Physics by H.C Verma Part - I - Session 2022-23,H.C. Verma,4.6,₹420.00
45,Think and Grow Rich,Napoleon Hill,4.5,₹94.00
46,"MTG Objective NCERT at your FINGERTIPS - Chemistry, Best Books for NEET & JEE Preparation (Based on NCERT Pattern - Latest & Revised Edition 2022)",N/A,4.5,₹489.00
47,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.5,₹257.00
48,The Compound Effect,Darren Hardy,4.6,₹180.00
49,Mathematics for Class 8 - CBSE - by R.D. Sharma Examination 2022-2023,R.D. Sharma,4.6,₹432.00
50,"To Nature, with love -The Times Evoke Collection",N/A,4.7,₹999.00
51,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,N/A,4.5,₹279.00
52,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,4.5,₹189.00
53,The Spanish Love Deception,Elena Armas,4.2,₹172.00
54,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,4.6,₹139.00
55,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,4.4,₹209.00
56,Manorama English Yearbook 2022,Mammen Mathew,4.6,₹279.00
57,CBSE All In One English Core Class 12 2022-23 Edition,N/A,4.0,₹494.00
58,The Blue Umbrella,Ruskin Bond,4.5,₹89.00
59,The Girl Who Drank the Moon,Kelly Barnhill,4.5,₹269.00
60,Mindset: Changing The Way You think To Fulfil Your Potential,N/A,4.6,₹279.00
61,"Three Thousand Stitches: Ordinary People, Extraordinary Lives",N/A,4.6,₹209.00
62,"ZOQWEID Magic Practice Copybook, (4 BOOK + 2 pen + 10 REFILL) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering (19*13 CM)",N/A,4.7,₹345.00
63,"Karma: A Yogi's Guide to Crafting Your Destiny | Spirituality, Self-improvement & Self help books by Sadhguru | Penguin",Sadhguru,4.7,₹256.00
64,Secondary School Mathematics for Class 9 - CBSE - by R.S. Aggarwal Examination 2022-2023,R.S. Aggarwal,4.5,₹380.00
65,Oswaal Term 2 Mathematics CBSE Class 12 Sample Question Paper Book (For Term-2 2022 Exam) Oswaal Books,Oswaal Editorial Board,4.6,₹127.00
66,The Illustrated Stories Of Akbar and Birbal: Classic Tales From India,Wonder House Books,4.6,₹154.00
67,How to Prepare for QUANTITATIVE APTITUDE for CAT ( With CAT Practice Tests on Pull Marks )| 9th Edition,Arun Sharma,4.5,₹725.00
68,One Arranged Murder,Chetan Bhagat,4.4,₹139.00
69,Computer Science With Python Textbook And Practical Book For Class 12 (Examination 2022-2023),Sumita Arora,4.5,₹514.00
